Thread ID: 6469600
Total: 27.325894
Sort by: self_time

 %self     total     self     wait    child    calls   name
  0.00      0.00     0.00     0.00     0.00        4  *<Class::Sinatra::Base>#static? 
  0.00      0.00     0.00     0.00     0.00        2   Hash#keys 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Utils::KeySpaceConstrainedParams#to_params_hash 
  0.00      0.00     0.00     0.00     0.00        2   Fixnum#to_f 
  0.00      8.29     0.00     0.00     8.29        4  *Method#call 
  0.00      0.00     0.00     0.00     0.00        2   String#bytesize 
  0.00      0.00     0.00     0.00     0.00        4   NilClass#nil? 
  0.00      0.00     0.00     0.00     0.00        2   Hash#each_value 
  0.00      0.00     0.00     0.00     0.00        2   Symbol#== 
  0.00      0.00     0.00     0.00     0.00        2   Tilt::Cache#clear 
  0.00      0.00     0.00     0.00     0.00        2   <Class::Sinatra::Base>#environment 
  0.00      0.00     0.00     0.00     0.00        1   BasicObject#singleton_method_added 
  0.00      0.00     0.00     0.00     0.00        1   Module#method_added 
  0.00      0.00     0.00     0.00     0.00        2   Kernel#lambda 
  0.00      0.00     0.00     0.00     0.00        2   Kernel#initialize_copy 
  0.00      0.00     0.00     0.00     0.00        2   Array#to_a 
  0.00      0.00     0.00     0.00     0.00        2   Array#map 
  0.00      0.00     0.00     0.00     0.00        2   Kernel#eql? 

* in front of method name means it is recursively called
